target,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
79,5.8046511627907,7.410000000000001,6.272448979591836,6.57962962962963,6.875000000000001,7.900000000000001,6.111702127659575,6.947222222222223,6.380357142857143,6.14468085106383,2.714,3.279,6.323,4.034,5.448,5.318,5.891,11.665,3.963,0.703,6.737037037037038,6.754545454545456,6.737037037037038,4.739999999999999,6.737037037037038,6.737037037037038,6.737037037037038,2.699,1.672,2.699,0.6,2.699,2.699,2.699
81,6.9347826086956506,6.899999999999999,6.002941176470588,6.757894736842104,8.099999999999998,7.265384615384614,7.088888888888888,5.005555555555556,4.626315789473684,8.099999999999998,1.985,1.4,1.4,1.708,0.84,1.167,1.4,1.5,1.623,0.828,7.533333333333331,7.533333333333331,4.859999999999999,7.533333333333331,7.533333333333331,7.533333333333331,7.533333333333331,4.785,4.785,1.38,4.785,4.785,4.785,4.785
63,6.109459459459459,6.449999999999999,5.933333333333334,7.0,6.019047619047618,5.552272727272727,6.584999999999999,6.078947368421052,5.392857142857143,5.147826086956521,15.424,6.256,2.327,3.25,5.726,7.245,2.227,2.745,1.656,3.326,6.293877551020408,5.977464788732394,6.293877551020408,6.293877551020408,6.293877551020408,6.293877551020408,6.293877551020408,6.094,1.401,6.094,6.094,6.094,6.094,6.094
69,5.84,6.415000000000001,6.67826086956522,6.500000000000001,4.311904761904762,6.066666666666667,6.474074074074075,7.294117647058825,6.180000000000001,5.852173913043478,2.629,7.932,2.592,4.529,0.748,4.337,2.136,2.122,2.481,1.4,6.570000000000001,6.940740740740741,6.671428571428573,7.1400000000000015,7.1400000000000015,6.671428571428573,6.570000000000001,4.288,2.248,4.94,0.6,0.654,4.94,4.288
60,6.260215053763441,5.899000000000002,5.5516129032258075,5.328,6.091304347826087,5.532960893854748,5.78235294117647,6.328571428571429,6.099999999999999,5.588372093023255,16.526,9.082,2.67,3.069,8.935,5.724,4.24,2.35,2.347,2.996,5.909090909090909,5.580769230769231,5.909090909090909,6.04,5.909090909090909,5.909090909090909,5.909090909090909,1.975,0.648,1.975,0.973,1.975,1.975,1.975
40,4.0,4.0,2.636842105263158,2.4,4.0,4.0,4.0,4.0,4.0,4.0,1.294,4.653,3.958,1.437,1.294,1.294,1.294,1.294,1.294,1.294,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
66,6.0375,6.694117647058823,6.599999999999999,6.545454545454544,6.425,5.6625,6.0874999999999995,5.7,6.3999999999999995,6.052941176470588,3.935,3.09,0.98,2.228,2.363,0.968,1.4,5.37,1.4,0.618,4.85625,4.5375,6.770588235294117,4.85625,6.479999999999999,6.599999999999999,4.85625,0.6,0.98,1.62,0.6,0.6,0.6,0.6
72,4.128358208955223,6.3611111111111125,7.200000000000002,6.776470588235295,4.504000000000002,4.108823529411765,7.200000000000002,5.366101694915256,7.200000000000002,6.413043478260869,4.24,1.588,2.872,3.718,2.33,1.681,0.707,0.696,3.748,5.04,6.800000000000002,6.800000000000002,6.800000000000002,6.238181818181822,6.800000000000002,6.800000000000002,6.800000000000002,2.188,3.748,2.703,2.268,2.188,2.188,2.188
76,7.599999999999999,6.218750000000003,6.56,7.062499999999998,5.8725490196078445,6.304347826086955,6.6949999999999985,7.639999999999999,7.599999999999999,6.205263157894736,3.086,6.72,3.283,1.631,6.743,1.456,1.516,0.718,0.684,0.765,7.016666666666665,7.011764705882351,7.570588235294117,6.879999999999998,6.879999999999998,7.016666666666665,7.011764705882351,2.103,4.24,0.704,3.619,2.418,2.103,4.24
81,6.64516129032258,5.043749999999999,6.999999999999999,5.548275862068966,6.342105263157894,6.470270270270269,6.809374999999999,8.099999999999998,4.721052631578947,6.856249999999998,4.19,6.222,5.018,2.741,5.573,2.736,1.584,1.4,1.502,1.4,7.668749999999999,6.152830188679243,7.339999999999999,7.339999999999999,7.459999999999998,7.668749999999999,7.668749999999999,8.16,2.023,1.463,1.463,2.332,8.16,8.16
59,5.8786885245901646,4.73,6.261111111111112,5.224489795918366,5.514516129032258,6.077777777777779,5.695238095238096,5.519047619047619,4.301851851851852,6.1,10.925,5.458,4.995,4.553,1.566,3.738,0.98,1.936,2.052,1.214,6.239506172839509,6.345454545454546,5.3909090909090915,6.488888888888891,5.94,6.239506172839509,6.239506172839509,8.16,4.099,1.4,2.309,1.708,8.16,8.16
70,6.403571428571428,3.956989247311828,6.48360655737705,6.092105263157896,6.340000000000001,6.131818181818182,6.4,7.194444444444445,7.084999999999999,6.221052631578948,5.75,6.649,12.471,3.016,4.398,3.284,3.002,4.4,1.146,11.634,4.947272727272727,6.442500000000001,6.457692307692307,6.534782608695653,4.947272727272727,4.947272727272727,4.947272727272727,3.05,1.502,3.793,2.451,3.05,3.05,3.05
80,7.079069767441859,6.566666666666668,6.673076923076923,6.164705882352941,6.785000000000001,6.3352941176470585,6.1499999999999995,6.006122448979591,4.371875,5.610714285714286,7.932,4.537,4.017,4.914,5.258,5.519,3.947,3.769,2.769,2.314,5.15625,6.591379310344828,8.0,5.15625,5.15625,5.15625,5.15625,3.779,1.702,3.006,3.779,3.779,3.779,3.779
0,3.746428571428571,3.742105263157895,0.33999999999999997,2.4,2.8125,0.8300000000000001,0.0,0.0,0.0,3.746428571428571,3.144,1.316,0.612,3.136,0.6,0.6,0.6,0.6,0.6,3.144,0.0625,2.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.6,0.6,0.6,0.6,0.6,0.6,0.6
